Date,Uniques,People,Visits,Page Views,Mobile Web
40269,25349036,19020118,69837544,1015761920,
40299,28001532,21096692,75802128,1061456128,
40330,30279004,22496896,86279520,1265348480,
40360,33237588,24571154,96291688,1470884480,
40391,37326484,27744680,105718912,1664430976,
40422,40863800,30076088,119718336,1854833792,
40452,43169608,31175164,134986816,2291991808,
40483,47188576,33880472,150272848,2823663104,
40513,49037412,34924704,160452736,3311109376,
40544,57963812,41301888,188368416,4086928384,
40575,66005040,47274360,209648432,4557380608,
40603,71810592,51564920,225196544,4985839616,
40634,81144880,58317276,252242864,6072128512,
40664,86220960,61791824,269872768,6633003520,
40695,92864688,65738312,302446528,8395395584,
40725,96766816,68923552,307647744,11171966976,
40756,102736800,72821928,331085056,11710914560,
40787,103348104,73609824,327252672,11661173760,
40817,108685128,78024504,333555968,12117823488,
40848,115729016,82445192,363336992,13037852672,8937000
40878,128263416,92087096,388764448,14020779008,11940532
40909,141254192,102296752,411443200,15470049280,13382846
40940,150845248,109841544,427660064,15600432128,14279108
40969,144538016,104106168,428548096,14919027712,14945914
41000,159860096,115758448,459963648,16286919680,17206288
41030,157223536,113899360,452455072,14786557952,16491142
41061,150399104,108543472,440980480,15352449024,15773518
41091,156465760,112769072,459181536,15903661056,19840210
41122,166808528,120256160,485624512,14668607488,22140054
41153,172062880,124390192,493932928,13998592000,26643136
41183,184667216,134480224,510799456,15234562048,29179220
41214,201892656,147525568,543773824,16674483200,31805100
41244,197982400,145602464,521876704,16516643840,35192792
41275,200280768,146146144,543114240,16718012416,39517752
41306,188579824,140544144,475777344,14677705728,38900468
41334,184908016,136447584,485839744,13837069312,34973080
41365,191476128,138832112,536019584,12958793728,38361680
41395,186668560,136477904,507532928,13379749888,36820980
