"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jun 2013",138.42804577534,132.158290838047,144.697800712633,128.839283060385,148.016808490295
"Jul 2013",140.302481941571,131.472916022851,149.132047860291,126.798826165957,153.806137717185
"Aug 2013",142.138639234695,131.339559509675,152.937718959715,125.6228720223,158.654406447091
"Sep 2013",143.93729936825,131.475905357954,156.398693378545,124.879241843297,162.995356893203
"Oct 2013",145.699228091978,131.772285188707,159.626170995249,124.399806953542,166.998649230414
"Nov 2013",147.425175517834,132.17262914758,162.677721888088,124.098418825433,170.751932210235
"Dec 2013",149.115876439331,132.643854884941,165.587897993721,123.924093395118,174.307659483545
"Jan 2014",150.772050644367,133.164621291038,168.379479997697,123.843811219062,177.700290069673
"Feb 2014",152.394403221663,133.720296642928,171.068509800398,123.834821756652,180.953984686674
"Mar 2014",153.983624860941,134.30039789436,173.666851827522,123.880726943109,184.086522778773
"Apr 2014",155.540392146977,134.897162299044,176.18362199491,123.96929652014,187.111487773814
"May 2014",157.065367847643,135.504693655862,178.626042039423,124.091162178178,190.039573517107
"Jun 2014",158.55920119607,136.118423659114,180.999978733026,124.238993613304,192.879408778836
"Jul 2014",160.02252816705,136.734756929936,183.310299404165,124.406955503335,195.638100830766
"Aug 2014",161.45597174779,137.350828554606,185.561114940975,124.590336551328,198.321606944252
"Sep 2014",162.860142203138,137.964333419072,187.755950987205,124.785288334866,200.93499607141
"Oct 2014",164.235637335395,138.573402970761,189.897871700029,124.988636691972,203.482637978818
"Nov 2014",165.583042738817,139.17651424884,191.989571228794,125.197742460172,205.968343017461
"Dec 2014",166.902932048925,139.772421437094,194.033442660756,125.410396663684,208.395467434166
"Jan 2015",168.195867186719,140.360103491769,196.031630881668,125.62474028783,210.766994085607
"Feb 2015",169.462398597905,140.938723470419,197.986073725392,125.839201951239,213.085595244571
"Mar 2015",170.703065487244,141.507596528026,199.898534446461,126.052448836086,215.353682138401
"Apr 2015",171.9183960481,142.066164434289,201.770627661912,126.263347594116,217.573444502085
