"","x"
"1",143943945.27202
"2",151818417.291008
"3",160123663.313451
"4",168883248.88655
"5",178122028.713794
"6",187866217.178419
"7",198143462.724865
"8",208982926.309276
"9",220415364.141648
"10",232473214.954398
"11",245190692.044965
"12",258603880.353622
"13",272750838.851933
"14",287671708.532394
"15",303408826.305651
"16",320006845.128486
"17",337512860.703417
"18",355976545.109423
"19",375450287.74294
"20",395989343.96907
"21",417651991.904761
"22",440499697.778835
"23",464597290.338059
"24",490013144.794121
"25",516819376.833448
"26",545092047.240359
"27",574911377.714149
"28",606361978.49248
"29",639533088.426937
"30",674518828.191944
"31",711418467.345513
"32",750336705.999577
"33",791383971.899147
"34",834676733.753211
"35",880337831.706444
"36",928496825.889419
"37",979290364.036294
"38",1032862569.21308
"39",1089365448.75664
"40",1148959325.58471
"41",1211813293.10085
"42",1278105694.98499
"43",1348024631.23097
"44",1421768491.86697
"45",1499546519.87314
"46",1581579404.89376
"47",1668099909.42842
"48",1759353529.27918
"49",1855599190.12748
"50",1957109982.21744
"51",2064173935.23006
"52",2177094835.54705
"53",2296193088.22313
"54",2421806626.11275
"55",2554291868.73055
"56",2694024733.5665
"57",2841401702.72518
"58",2996840947.91562
"59",3160783516.98391
"60",3333694585.35525
"61",3516064775.93621
"62",3708411551.22252
"63",3911280681.56219
"64",4125247793.74026
"65",4350920004.27899
"66",4588937642.08799
"67",4839976065.35211
"68",5104747577.81252
"69",5384003449.87801
"70",5678536050.30162
"71",5989181094.47084
"72",6316820015.69079
"73",6662382466.18875
"74",7026848954.93659
"75",7411253629.77542
"76",7816687211.73684
"77",8244300089.88666
"78",8695305585.47229
"79",9170983394.63588
"80",9672683219.46143
"81",10201828597.6588
"82",10759920941.7513
"83",11348543799.2271
"84",11969367345.7431
"85",12624153124.1302
"86",13314759042.6462
"87",14043144646.6586
"88",14811376678.7163
"89",15621634942.7846
"90",16476218489.2849
"91",17377552138.4873
"92",18328193360.7662
"93",19330839533.2414
"94",20388335593.3946
"95",21503682111.3779
"96",22680043803.9193
"97",23920758513.9816
"98",25229346681.656
"99",26609521333.161
"100",28065198616.2915
"101",29600508912.2106
"102",31219808555.1136
"103",32927692193.0175
"104",34729005824.7496
"105",36628860550.1254
"106",38632647072.3326
"107",40746050993.6692
"108",42975068948.0375
"109",45326025615.9677
"110",47805591670.451
"111",50420802704.5016
"112",53179079194.1534
"113",56088247553.5352
"114",59156562341.766
"115",62392729684.682
