"","x"
"1",138550287.856968
"2",140654140.359956
"3",142789939.35272
"4",144958169.934954
"5",147159324.572475
"6",149393903.209075
"7",151662413.380069
"8",153965370.327573
"9",156303297.117531
"10",158676724.758516
"11",161086192.322335
"12",163532247.066473
"13",166015444.558386
"14",168536348.801685
"15",171095532.364241
"16",173693576.508229
"17",176331071.322149
"18",179008615.854851
"19",181726818.251598
"20",184486295.892189
"21",187287675.531187
"22",190131593.440271
"23",193018695.552751
"24",195949637.610276
"25",198925085.311776
"26",201945714.464654
"27",205012211.138287
"28",208125271.819848
"29",211285603.572499
"30",214493924.195985
"31",217750962.389666
"32",221057457.918023
"33",224414161.778683
"34",227821836.372991
"35",231281255.679168
"36",234793205.428108
"37",238358483.28184
"38",241977899.014695
"39",245652274.697231
"40",249382444.882948
"41",253169256.797839
"42",257013570.532819
"43",260916259.239072
"44",264878209.326373
"45",268900320.664415
"46",272983506.787191
"47",277128695.100489
"48",281336827.092528
"49",285608858.547797
"50",289945759.764139
"51",294348515.773138
"52",298818126.563839
"53",303355607.309882
"54",307961988.60007
"55",312638316.672448
"56",317385653.651931
"57",322205077.791545
"58",327097683.717323
"59",332064582.676934
"60",337106902.792067
"61",342225789.31467
"62",347422404.887062
"63",352697929.806003
"64",358053562.290775
"65",363490518.755327
"66",369010034.084558
"67",374613361.914798
"68",380301774.918537
"69",386076565.093491
"70",391939044.056044
"71",397890543.33916
"72",403932414.694806
"73",410066030.400976
"74",416292783.573372
"75",422614088.481818
"76",429031380.871485
"77",435546118.288984
"78",442159780.41342
"79",448873869.392462
"80",455689910.183531
"81",462609450.900155
"82",469634063.16359
"83",476765342.459779
"84",484004908.501732
"85",491354405.59741
"86",498815503.023189
"87",506389895.403003
"88",514079303.093239
"89",521885472.573477
"90",529810176.843168
"91",537855215.824329
"92",546022416.770354
"93",554313634.681038
"94",562730752.723899
"95",571275682.661893
"96",579950365.287638
"97",588756770.864212
"98",597696899.572662
"99",606772781.966299
"100",615986479.431894
"101",625340084.657873
"102",634835722.109632
"103",644475548.512055
"104",654261753.339372
"105",664196559.312447
"106",674282222.903622
"107",684521034.849224
"108",694915320.669854
"109",705467441.198579
"110",716179793.117146
"111",727054809.500329
"112",738094960.368556
"113",749302753.248912
"114",760680733.744675
"115",772231486.113491
