"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jun 2013",139.292095372287,130.813324825329,147.979372900945,126.293816834937,152.747450905688
"Jul 2013",142.163757824712,130.071216511885,154.528757436252,123.920821514117,161.713038907887
"Aug 2013",144.959419476736,129.77505081888,160.201659036386,122.083169690297,169.192378821023
"Sep 2013",147.678613897678,129.821476004882,165.828356787038,121.647219282653,176.680302146173
"Oct 2013",150.32113468395,129.874734720667,171.148060855334,120.932328831457,183.847468432708
"Nov 2013",152.887014484462,130.029572685514,175.963721070308,120.489911854931,191.598078299857
"Dec 2013",155.376504584179,130.679139169257,180.403289238452,119.254648266685,197.696430807222
"Jan 2014",157.790055158233,131.410613987956,184.950715312437,119.200500489954,203.722757644176
"Feb 2014",160.128296285999,131.594937637956,189.478939399245,118.863545564134,210.806487495098
"Mar 2014",162.392019793915,131.647791323581,193.898428153852,117.916241183627,214.739025575303
"Apr 2014",164.582161977532,132.576110861564,198.38398207427,117.73932117042,221.255909370984
"May 2014",166.699787237074,132.169471743372,202.039158449852,118.099154732336,227.276174078465
"Jun 2014",168.746072646737,132.741051489968,205.595970861183,117.598753638017,231.694703431982
"Jul 2014",170.722293465762,132.60849770703,209.301014832296,116.929685842073,236.244948834503
"Aug 2014",172.62980958892,132.800325532328,213.982154960173,116.168854692951,239.641582979458
"Sep 2014",174.470052925274,132.779924893213,216.151739173149,115.420233398882,244.021165932605
"Oct 2014",176.244515686806,132.584743563321,219.953054739414,114.877319986336,249.817949957663
"Nov 2014",177.954739562496,132.939973117903,223.789953261994,114.25246526241,255.585552075414
"Dec 2014",179.602305748696,132.766816154933,227.041888086116,114.755499705293,259.955151550832
"Jan 2015",181.188825802903,133.60782093743,230.334705823965,113.559645252948,267.136990384689
"Feb 2015",182.715933285228,133.766523190879,233.761057389958,113.694494754272,269.966743695799
"Mar 2015",184.185276149901,133.197319739432,237.028457458928,113.135941823967,274.642460263224
"Apr 2015",185.59850984782,133.199538220666,240.106839674069,112.613798965792,278.869673160298
"May 2015",186.957291100502,133.176225674038,243.247535385401,111.807468213272,283.235452614792
"Jun 2015",188.263272305588,133.447007113275,247.572932550052,111.671972629831,289.397228831246
"Jul 2015",189.518096534315,132.894412394527,248.514780171454,111.509953575533,294.0527178125
"Aug 2015",190.723393081963,132.400662083877,251.677965555623,110.93079081877,298.781433574816
"Sep 2015",191.880773533171,131.41610595985,253.814161170837,110.317547350984,303.102029011577
"Oct 2015",192.991828305159,132.37840137191,257.107233500419,109.734796639341,306.088412560254
"Nov 2015",194.058123633155,132.028867726353,260.295419519833,109.471343126723,313.051667595289
"Dec 2015",195.081198963819,131.906788146449,263.248334498511,108.3850368239,316.389130983514
"Jan 2016",196.062564723944,131.279272997209,265.625244526407,108.224039153128,319.744381923115
"Feb 2016",197.003700433353,131.563110887904,268.225327345737,108.288470383267,321.057377538326
"Mar 2016",197.906053132545,131.054424681204,270.780406917212,107.670595281863,324.538016329157
"Apr 2016",198.771036097293,129.687638892344,271.423395229758,108.286581337927,329.888712534776
"May 2016",199.60002781407,129.905483373121,273.296012804492,107.153490153995,329.837481832699
"Jun 2016",200.394371191795,129.497819926277,276.217797285642,107.995853464141,333.8722240765
"Jul 2016",201.155372987013,129.338388297796,277.825395448998,106.540381445749,336.956620113126
"Aug 2016",201.884303421149,129.227408597222,278.056658737356,106.322550316016,340.386774608757
"Sep 2016",202.582395970018,128.875928330775,279.958553316136,105.409698558492,346.455403614201
"Oct 2016",203.250847307199,128.663211207166,283.276427654091,104.636869548204,354.637129428454
"Nov 2016",203.890817384253,128.995782896021,284.261981139566,104.626160941675,359.734762405948
"Dec 2016",204.503429632115,127.990116248927,285.364595211054,103.820366996529,360.375258148877
"Jan 2017",205.089771269215,128.130247365194,289.854013904358,103.115668818857,362.972176758768
"Feb 2017",205.65089370307,128.364734290006,290.645630014909,103.617024046874,361.99854249809
"Mar 2017",206.187813013209,127.403417117942,291.853456421984,102.855204042331,362.325345385894
"Apr 2017",206.701510504338,127.694493630358,293.895164116432,102.575695751303,368.240310200661
"May 2017",207.192933319613,126.844132545147,297.306061513674,102.223412430431,371.716557580545
"Jun 2017",207.662995104844,125.816608011115,296.378239153667,100.974519572394,375.112403599399
"Jul 2017",208.11257671525,125.535071000148,299.156870830214,101.087585990898,374.182647063147
"Aug 2017",208.54252695724,124.073106009213,302.501421231657,99.6477784855048,375.913455941132
"Sep 2017",208.953663358366,124.466950347126,303.414498629003,98.4873711968692,378.171695212536
"Oct 2017",209.346772959336,123.871329076947,304.229703959504,98.1913478671812,386.032930621819
"Nov 2017",209.722613122543,122.356235758547,307.7821319846,97.5002140375848,385.677075095102
"Dec 2017",210.081912352206,123.131297393341,309.566394338907,96.4448512387322,393.634920974157
"Jan 2018",210.425371121691,122.315050477991,311.992197115203,97.022849752418,399.928456470426
"Feb 2018",210.753662704123,121.43650582723,313.080154460885,96.1014226579333,397.864205085609
"Mar 2018",211.067434002805,121.549291248772,313.744190726958,95.2402382232989,400.108951270169
"Apr 2018",211.367306378404,120.314083855552,315.493526190723,94.3821635432596,399.093137657164
