"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jun 2013",137.868169205106,130.73468319408,145.31083180913,127.08024867586,149.379299193781
"Jul 2013",139.878951987611,129.318231400422,151.121165661695,123.992752501103,157.359407946186
"Aug 2013",141.80431980834,128.920942530224,155.701515277407,122.491806142895,163.488702976073
"Sep 2013",143.646739316186,128.97994731816,159.623436779858,121.717694309658,168.64056951903
"Oct 2013",145.408737791331,129.298900557013,163.091795783298,121.37064846053,173.127905882521
"Nov 2013",147.092883463014,129.78129202109,166.21143026481,121.303245222351,177.110713779934
"Dec 2013",148.701768088083,130.371235022005,169.046341371802,121.429957555531,180.686543455716
"Jan 2014",150.237991613335,131.033047426241,171.640096549426,121.695986133255,183.921664655949
"Feb 2014",151.704148750566,131.742433230475,174.02463620253,122.063811644804,186.864521485487
"Mar 2014",153.102817300364,132.482091369512,176.224656613905,122.506507119246,189.552431007995
"Apr 2014",154.436548068788,133.239299762574,178.260020586121,123.004064582443,192.015270400706
"May 2014",155.707856229661,134.004483471641,180.147186473968,123.541222448275,194.277665535093
"Jun 2014",156.91921399422,134.770315502554,181.900106677308,124.106104423974,196.360369601175
"Jul 2014",158.073044458941,135.531125177938,183.530820318502,124.689326475836,198.281174733681
"Aug 2014",159.171716511434,136.282493631908,185.049860254058,125.283388143241,200.05553994705
"Sep 2014",160.217540683201,137.02096816026,186.466542427134,125.882244143965,201.697039107659
"Oct 2014",161.212765846689,137.743854855174,187.789177907891,126.480994475594,203.217690474248
"Nov 2014",162.159576662397,138.449064429581,189.025232523826,127.075654825205,204.628205784152
"Dec 2014",163.060091689708,139.134995169213,190.181449976637,127.662982872732,205.938183134852
"Jan 2015",163.916362082651,139.800442423093,191.263948893259,128.240344414075,207.156259607384
"Feb 2015",164.730370798873,140.444527467874,192.278300854811,128.805608446473,208.290234392819
"Mar 2015",165.50403225672,141.066640786229,193.229594260485,129.357063714652,209.34716985284
"Apr 2015",166.239192381543,141.666396254797,194.122487443735,129.893351429708,210.33347575305
"May 2015",166.937628988048,142.243593719581,194.961253489424,130.413410365343,211.254980432338
"Jun 2015",167.601052450872,142.798188113115,195.749818535905,130.916431562661,212.116991658894
"Jul 2015",168.231106620432,143.33026374204,196.491794881926,131.401820593569,212.924349215957
"Aug 2015",168.829369945612,143.840012711709,197.190509889057,131.86916584423,213.681470757834
"Sep 2015",169.397356768984,144.327716699008,197.84903143341,132.318211649222,214.392392114563
"Oct 2015",169.936518764024,144.793731463824,198.470190487662,132.748835377202,215.060802958901
"Nov 2015",170.448246487228,145.238473622782,199.056601286904,133.161027768854,215.690078553392
"Dec 2015",170.933871021146,145.662409308822,199.61067943662,133.554875977709,216.28330814856
"Jan 2016",171.394665687208,146.066044416164,200.134658249318,133.930548877713,216.843320492083
"Feb 2016",171.831847809755,146.449916188399,200.630603541615,134.288284287986,217.372706823695
"Mar 2016",172.246580515025,146.814585952539,201.100427081486,134.628377831889,217.873841664708
"Apr 2016",172.639974550919,147.160632837076,201.545898842714,134.951173199377,218.348901659588
"May 2016",173.013090115256,147.488648339808,201.968658197986,135.257053622207,218.799882686416
"Jun 2016",173.366938681888,147.79923163326,202.370224161831,135.546434403655,219.228615420713
"Jul 2016",173.702484815584,148.092985513134,202.752004778455,135.819756369889,219.636779511072
"Aug 2016",174.020647967916,148.3705129095,203.115305736552,136.077480130631,220.02591650393
"Sep 2016",174.322304247564,148.632413891983,203.461338282576,136.320081053244,220.397441637443
"Oct 2016",174.608288159563,148.879283109753,203.791226495323,136.548044867857,220.752654610104
"Nov 2016",174.879394308928,149.111707614934,204.106013977475,136.761863832183,221.092749417721
"Dec 2016",175.136379064925,149.330265024632,204.406670013737,136.962033393819,221.418823342262
"Jan 2017",175.379962183026,149.535521982252,204.694095240148,137.149049295471,221.7318851674
"Feb 2017",175.610828382193,149.728032883461,204.969126864739,137.323405074941,222.032862688212
"Mar 2017",175.829628875746,149.908338836109,205.232543476038,137.485589917198,222.322609575987
"Apr 2017",176.036982854524,150.07696682686,205.48506947257,137.636086820495,222.601911653474
"May 2017",176.233478921522,150.234429070231,205.727379143691,137.775371042556,222.871492630921
"Jun 2017",176.419676477532,150.381222518366,205.960100429496,137.903908796351,223.132019348812
"Jul 2017",176.596107057648,150.517828512099,206.183818385287,138.022156168063,223.384106569237
"Aug 2017",176.763275618797,150.644712555911,206.399078374006,138.130558232577,223.628321354299
"Sep 2017",176.921661778637,150.76232420118,206.606389008194,138.229548344248,223.865187066675
"Oct 2017",177.071721006441,150.871097023683,206.806224861332,138.31954758285,224.095187024565
"Nov 2017",177.213885766686,150.971448682791,206.999028966861,138.400964336578,224.318767840558
"Dec 2017",177.348566616248,151.063781051062,207.185215121761,138.474194005723,224.536342471509
